"movement_id","tag_id"
75,111
76,111
123,111
227,111
228,111
229,111
231,111
245,111
259,111
269,111
270,111
271,111
294,111
297,111
299,111
305,111
309,111
318,111
319,111
324,111
330,111
332,111
334,111
335,111
339,111
348,111
349,111
358,111
369,111
370,111
371,111
69,111
73,111
74,111
97,117
98,111
225,111
115,111
116,111
120,111
122,111
150,111
226,111
157,111
158,111
162,111
163,111
165,111
166,111
170,111
171,111
176,111
187,111
188,111
194,111
200,111
202,111
204,111
66,111
68,111
209,111
30,117
31,117
32,117
33,117
331,111
215,111
244,111
267,111
293,111
342,111
347,111
356,111
365,111
72,101
264,102
75,103
76,103
123,103
227,103
228,103
229,103
231,103
245,103
259,103
269,103
40,104
40,105
42,101
270,103
271,103
294,103
216,101
217,101
297,103
299,103
305,103
309,103
318,103
319,103
324,103
330,103
332,103
334,103
335,103
339,103
348,103
349,103
358,103
369,103
370,103
371,103
43,104
43,106
44,104
44,106
45,104
45,106
46,104
46,106
235,101
262,102
341,107
152,102
180,102
289,102
296,102
101,101
103,101
104,101
109,101
1,101
2,108
2,101
3,101
3,109
4,104
5,101
5,109
6,104
6,109
7,101
8,101
8,109
9,104
9,109
10,109
10,104
11,101
12,104
12,110
13,101
14,109
14,101
15,109
16,110
17,101
18,101
19,109
21,104
22,101
23,109
24,109
26,101
27,101
28,109
29,104
37,111
38,111
39,111
39,105
61,110
61,112
64,110
64,104
65,104
65,111
62,104
62,113
34,104
35,104
36,111
63,104
69,103
67,101
70,101
222,101
71,101
73,103
77,101
74,103
80,101
82,101
83,101
84,101
85,101
86,101
87,101
88,101
90,101
97,101
95,101
96,101
99,101
98,103
93,102
94,102
225,103
102,101
105,101
106,101
107,101
108,101
110,101
111,101
112,101
113,101
115,103
116,103
117,101
389,102
118,107
119,107
121,107
125,101
128,101
120,103
122,103
131,101
133,101
134,101
135,101
136,101
137,101
138,101
141,101
142,101
143,101
144,101
145,101
146,101
147,101
148,101
149,101
151,101
150,103
153,101
226,103
154,107
155,101
157,103
50,109
50,105
156,101
158,103
159,101
160,101
161,101
162,103
163,103
165,103
166,103
164,101
167,107
223,101
51,109
168,101
170,103
171,103
52,109
53,109
172,101
173,101
174,101
175,101
177,101
54,111
55,111
178,101
179,101
182,101
176,103
183,101
187,103
188,103
184,101
185,101
186,101
56,111
189,101
190,107
191,101
192,101
193,101
57,111
194,103
195,101
196,107
197,107
224,101
398,114
199,101
200,103
201,101
203,101
202,103
58,111
58,105
204,103
66,103
210,101
364,103
68,103
209,103
401,114
401,115
47,109
48,109
49,109
211,101
212,101
213,107
214,107
30,108
30,104
31,108
31,104
32,108
33,108
400,114
402,114
404,114
406,114
407,114
408,114
408,115
411,114
412,114
414,114
331,103
215,103
230,101
232,101
233,101
234,101
236,101
238,101
239,101
243,101
244,103
246,107
248,101
250,107
251,101
252,101
253,101
249,102
254,101
255,101
256,101
257,101
258,101
261,101
265,101
268,101
279,101
267,103
272,101
273,101
274,101
275,101
276,101
277,107
278,107
282,101
283,107
284,101
285,101
286,101
287,101
280,102
290,101
291,101
292,101
295,107
293,103
298,101
300,107
301,107
302,107
303,101
304,101
306,101
307,101
310,101
311,101
312,101
313,101
314,101
315,101
317,101
320,101
321,101
323,101
325,107
326,101
327,101
328,101
329,107
333,101
336,101
337,101
338,107
340,101
343,107
344,101
345,103
346,101
350,101
342,103
347,103
357,101
359,101
360,101
361,103
356,103
363,101
366,101
367,101
368,101
365,103
7,122
7,123
7,124
7,125
1,126
1,123
1,124
1,125
2,126
2,123
2,124
2,127
13,128
13,123
13,129
13,125
26,130
26,123
26,129
26,131
27,130
27,123
27,129
27,131
27,132
22,130
22,123
22,129
22,125
18,133
18,123
18,129
30,134
30,124
30,135
