"id","user_id","date","body_part","soreness_1_5","inferred_cause_session_id","notes","created_at"
1,1,2026-01-23,Biceps,3,,,2026-01-23 13:40:56.607463
2,1,2026-01-23,Upper Back,3,,,2026-01-23 13:40:56.726553
3,1,2026-01-23,Glutes,3,,,2026-01-23 13:40:56.726276
4,1,2026-01-23,Lower Back,3,,,2026-01-23 13:40:56.729297
5,1,2026-01-23,Lats,4,,,2026-01-23 13:40:56.730318
6,1,2026-01-23,Hamstrings,3,,,2026-01-23 13:40:56.729652
7,1,2026-01-24,core,3,,,2026-01-24 18:20:52.230344
